Year,GST_5,Global surface temperature,GST_95,SSP1-1.9_5,SSP1-1.9,SSP1-1.9_95,SSP1-2.6_5,SSP1-2.6,SSP1-2.6_95,SSP2-4.5_5,SSP2-4.5,SSP2-4.5_95,SSP3-7.0_5,SSP3-7.0,SSP3-7.0_95,SSP5-8.5_5,SSP5-8.5,SSP5-8.5_95,,,,,,,
1950,-0.06003,0.252242,0.608546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1951,-0.0556856,0.274715,0.525308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1952,-0.0428913,0.274303,0.540725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1953,-0.0205299,0.253376,0.535419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1954,-0.127657,0.246369,0.553914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1955,-0.0454359,0.273183,0.541897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1956,-0.122056,0.270194,0.595489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1957,-0.0815188,0.26802,0.57224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1958,-0.0351503,0.258518,0.534191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1959,-0.0235373,0.258082,0.555881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1960,-0.083648,0.275816,0.549635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1961,0.0237076,0.278716,0.596956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1962,-0.114702,0.243163,0.485732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1963,-0.154688,0.146068,0.446616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1964,-0.199097,0.0675637,0.358201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1965,-0.189913,0.0892355,0.330021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1966,-0.0801923,0.136807,0.41921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1967,-0.252428,0.13223,0.43186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1968,-0.225698,0.163259,0.469934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1969,-0.141856,0.197771,0.431807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1970,-0.0973114,0.211585,0.493199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1971,-0.187701,0.228505,0.531925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1972,-0.179701,0.20259,0.472747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1973,-0.0230189,0.226456,0.451735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1974,-0.0151033,0.246628,0.497963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1975,-0.0295577,0.211784,0.529958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1976,-0.0158827,0.219708,0.468149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1977,0.0225135,0.278376,0.499191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1978,0.0282921,0.282009,0.611599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1979,-0.0254563,0.311394,0.570115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1980,0.0330293,0.34729,0.624456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1981,0.113745,0.377955,0.592297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1982,0.0713663,0.337443,0.585534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1983,-0.0139346,0.23189,0.568651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1984,0.134554,0.303182,0.607088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1985,0.0504538,0.354818,0.646899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1986,0.145226,0.38841,0.688514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1987,0.166573,0.437567,0.693618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1988,0.152693,0.471578,0.695916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1989,0.293242,0.516417,0.7338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1990,0.409507,0.586496,0.817305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1991,0.300284,0.565131,0.814267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1992,0.065736,0.292329,0.523401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1993,0.149989,0.348397,0.626579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1994,0.167363,0.450393,0.681278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1995,0.282344,0.490861,0.751686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1996,0.356335,0.565519,0.755367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1997,0.434545,0.638018,0.845823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1998,0.445872,0.645688,0.831704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
1999,0.445269,0.681837,0.865118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
2000,0.537534,0.735275,0.871411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
2001,0.604782,0.798701,0.999765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
2002,0.597459,0.820328,0.991021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
2003,0.682348,0.856159,0.994181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
2004,0.689514,0.865993,1.06856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
2005,0.693329,0.884204,1.06246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
2006,0.692701,0.899079,1.08839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
2007,0.732211,0.928693,1.10407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
2008,0.792066,0.942816,1.13052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
2009,0.797398,0.961617,1.15798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
2010,0.836971,1.00262,1.28012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
2011,0.842644,1.03633,1.18925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
2012,0.882825,1.0613,1.24067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
2013,0.913046,1.08492,1.2857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
2014,0.930436,1.10004,1.33164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
2015,NA,NA,NA,1.015464594,1.098806697,1.187128662,1.010285968,1.099247547,1.196468787,1.011144608,1.10322925,1.194781866,1.004819771,1.094355372,1.191356909,1.02088485,1.110087613,1.214464776,,,,,,,
2016,NA,NA,NA,1.032164094,1.123233684,1.219921902,1.027753755,1.124936489,1.232380706,1.029887849,1.126901764,1.229157004,1.020225949,1.117928984,1.223910538,1.040534549,1.136829795,1.25105004,,,,,,,
2017,NA,NA,NA,1.04992247,1.148855749,1.253968339,1.045768498,1.151127281,1.267276552,1.047697989,1.151919167,1.264237823,1.037919257,1.143450954,1.257961742,1.060932977,1.166138801,1.289023335,,,,,,,
2018,NA,NA,NA,1.068048495,1.17520481,1.289161376,1.063368498,1.176866572,1.302330444,1.064357115,1.177257279,1.300235845,1.05563076,1.169831477,1.293765534,1.0792721,1.195275185,1.329558642,,,,,,,
2019,NA,NA,NA,1.084378535,1.200603567,1.324116437,1.081300896,1.202266409,1.340350751,1.081321737,1.202910643,1.336964835,1.072718511,1.194815689,1.333080909,1.099178782,1.223857844,1.373857311,,,,,,,
2020,NA,NA,NA,1.09938112,1.225472443,1.359480014,1.09865454,1.228768373,1.378903227,1.100338789,1.229934511,1.377739359,1.091036931,1.220170947,1.37075515,1.120566689,1.25372695,1.415059583,,,,,,,
